name	mef	ctrl_d1	ctrl_d3	ctrl_d5	ctrl_d7	osk_d0	osk_d1	osk_d3	osk_d5	osk_d7	ovsvk_d0	ovsvk_d1	ovsvk_d2	ovsvk_d3	ovsvk_d4	D0_7F_Id1	D1_7F_Id1	D3_7F_Id1	D5_7F_Id1	D7_7F_Id1	D0_7F_Kdm2b	D1_7F_Kdm2b	D3_7F_Kdm2b	D5_7F_Kdm2b	D7_7F_Kdm2b	esc
Cdh1	0.32192809488736235	0.4222330006830478	0.0	0.1763227726404629	0.08406426478847455	0.6599245584023783	2.185866545311334	5.265286857565172	6.020591094773247	7.4598414169757685	2.715893370547605	4.469885976274464	6.391630261517429	7.250298417906333	7.817367437838646	2.130930869826449	3.628773595201645	3.3362833878644325	3.758089934201813	4.22650852980868	3.0373822220030804	5.65792577227638	5.431622959713293	5.577126661307052	5.001802242633985	8.703038388986418
Klf4	5.812498225333565	4.203201156316611	5.380937194927824	5.547511523644216	5.694880192799191	9.148374890838214	8.934575472545678	8.332842173211525	8.708704559708485	8.268939607696758	8.425257871999214	8.92561377829502	9.27500704749987	9.34214135498054	8.623515741490548	5.2475478068902985	3.4867143730307024	3.893362210763872	4.390942772802543	4.717539343391165	5.283921772307618	3.5861642459309095	4.78135971352466	6.314877757368213	4.12267271882414	7.4254257345907
Klf5	4.265286857565173	3.6803243568440163	3.3334237337251915	2.933572638261024	2.6205864104518777	2.5897634869849773	3.405992359675837	4.865918814552212	4.676944359106912	4.2600256559614555	3.203201156316611	4.691534164919201	5.197314999473818	4.945794956740061	5.29682445864937	5.148934104526339	5.677508242264722	5.415826257472914	4.947198584262056	5.013015535839256	5.173926931999809	5.531381460516312	5.616769366293503	5.613826290934042	5.2353441281726685	6.948951200441422
Gata6	3.0338634518662846	2.280956313831056	2.933572638261024	3.2172307162206693	3.0053999877425897	2.077242998932461	2.2172307162206693	1.8114710305298358	1.531069492725954	0.6415460290875238	2.5310694927259543	2.6599245584023783	2.533563348214512	2.4905701304462013	2.5084286525318573	3.456806149230474	3.313245851787561	4.316869805064334	4.291308859828971	3.439623137557117	3.438292851579147	3.2078928516413328	3.7026575433909112	3.0179219079972626	2.7441610955704103	1.3103401206121505
Ctnnb1	9.617669483554863	9.390362449265291	9.876854559089539	9.827692021224404	9.721697338701611	8.065658470931991	9.571695768727784	9.880333500965634	9.644937805500176	9.843716955944284	9.172177453173692	9.349037902120875	9.364484887464926	9.358607249117812	9.415129073694391	8.776860677962933	8.657890054488208	8.853870927483998	8.861800320669541	9.075880213765508	8.792530032713584	8.687270692713133	9.015470807639382	8.925257711151636	9.109412799733057	8.96624587322494
Nanog	0.35614381022527536	0.6959938131099002	0.7048719644563528	0.5945485495503543	0.13750352374993502	0.22650852980867975	0.5360529002402098	0.5558161550616396	1.8953026213333068	6.790772037861999	0.7824085649273733	1.4698859762744638	3.6380738371807184	6.174925682500679	7.521678951603199	9.734303170007376	10.169699562729315	10.425226395588801	10.070966183222454	9.832241288325347	9.800463143613	10.471238275790549	10.583816154813935	9.914340280835235	9.229635986140483	9.376863374027403
Gata3	1.875780063068488	1.01435529297707	0.956056652412403	0.6135316529179271	0.6959938131099002	1.111031312388744	1.5509006646475232	2.3248106034204836	2.039138393906958	1.641546029087524	2.1243281350022016	3.10936055940423	3.2883585621936606	3.168321115739723	2.7070829917717063	2.84197311892718	2.475084882948783	2.9278964537288212	2.080657663345225	1.752748591407134	2.871843648509318	1.9963887464476213	2.1176950426697547	1.5058909297299574	1.7697717392494476	1.0908534304511135
Gata3	1.875780063068488	1.01435529297707	0.956056652412403	0.6135316529179271	0.6959938131099002	1.111031312388744	1.5509006646475232	2.3248106034204836	2.039138393906958	1.641546029087524	2.1243281350022016	3.10936055940423	3.2883585621936606	3.168321115739723	2.7070829917717063	2.84197311892718	2.475084882948783	2.9278964537288212	2.080657663345225	1.752748591407134	2.871843648509318	1.9963887464476213	2.1176950426697547	1.5058909297299574	1.7697717392494476	1.0908534304511135
Suz12	5.5447326559326235	3.440952198029637	4.6604951318885135	5.166715444966423	5.077670274232752	1.7655347463629771	4.2622828064206555	6.690137692986635	7.439124424050663	7.970911158577128	4.454833906898869	6.741332148787993	7.124224727121938	7.453105980387883	7.59260653159917	5.5456595400254685	5.486714373030702	5.937579799679659	5.69265037003553	6.1801080687120145	5.499208090856686	5.460742563789644	5.978424465440858	6.444269502413482	6.399171093819823	8.23309234965254
Tcf3	6.398658196365507	6.3394937379017335	6.2397417176806735	5.548436624696042	5.516960659898823	6.685800019744892	6.103917210752066	6.656210320182599	6.940871478189196	7.099715999160909	6.236301266827087	6.622198278523645	6.905808168366879	7.3466023752989855	7.282254452010579	6.867402305727543	6.513332823740127	6.660209873352559	7.3003983231247185	7.717128026199244	6.816727690127002	6.568336182133748	6.940401697969842	7.695158678475356	7.8364922508449375	6.888864990178521
Dnmt3a	4.36667191611176	4.136683577697236	4.438292851579147	4.1626934322112366	4.345538310070007	3.727920454563199	4.792334805706693	5.2731428593080825	4.936402377725063	4.888986721186558	4.786073551578548	4.992315251861196	5.34908214639109	5.61882595258744	6.035623909730722	4.643856189774724	5.294988267691447	5.805808348701468	5.900383816666935	6.024807233400573	4.860962797858117	5.552438555253539	6.4929747563280005	6.388017285345135	5.782146423554637	5.731454807698346
Esrrb	0.1763227726404629	0.23878685958711648	0.0	0.09761079662642234	0.3895668117627256	0.1505596765753814	0.08406426478847455	0.28688114778816154	0.5849625007211562	4.707082991771706	0.1505596765753814	0.13750352374993502	0.765534746362977	3.263034405833794	5.857483428286673	10.526127513884791	11.410016675471795	11.363461313187974	11.097097187520056	10.388953656545256	10.526078595536328	11.717860603372113	11.644775614827685	10.593166997415974	10.032996187012461	8.365185097411759
Otx2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1763227726404629	0.0	0.5849625007211562	0.0	0.0	0.0	0.4222330006830478	1.1176950426697545	0.0	0.0	0.2750070474998698	1.5109619192773793	1.9523335663696855	0.0	0.0	1.1570437101455802	2.1210154009613658	1.5704629310260412	3.545968369105293
Myc	5.7554217347342425	3.7538184431735426	2.8698714061777126	3.2705289423807185	2.761285273361619	6.5230914353024305	5.133399125417198	4.211790976252541	4.026800059343715	4.169925001442312	6.1430260038899736	5.60733031374961	5.431622959713293	4.898208352508718	4.941106310946432	6.90701081518618	6.723148957047579	6.720278465233327	6.272209861124567	5.312156888313374	7.065766162869554	6.720552091605107	6.638073837180718	6.066519781429747	5.640678764233701	2.3305584000308026
March5	6.983563697223322	6.917312401095031	7.2978333684110614	7.18774795576891	7.095291520211729	6.1020281793673155	6.645009884391095	7.179311989210017	7.241363527452729	7.2406959442125105	6.838825739868142	7.063502942306158	7.249634957310189	7.496014873437763	7.215096120976214	7.217618485351048	6.8351661572204545	6.997292407636508	6.767389962065719	6.920650594563984	7.064581109190573	6.707773243467036	6.962780353804802	7.0002254034909495	7.109673973006438	6.488482874444532
Rcor2	3.114367024952	4.486714373030702	3.604071323668861	3.7092906357233577	3.3991710938198225	2.8914191868460786	2.6712933724815757	2.8836208162856716	3.3161457422933562	4.5963388642052	3.0179219079972626	3.2479275134435857	3.7928553523624893	4.405311682597445	5.653346692722177	4.589763486984977	5.122258567811998	5.308156975114762	6.391630261517429	6.978996396088939	4.572889668420581	6.063718640152249	6.306517445249819	7.372342723017494	7.139653667567866	7.023477151830433
Nr5a2	0.37851162325372983	0.0	0.20163386116965043	0.0	0.07038932789139801	0.0	0.0	0.20163386116965043	1.3448284969974413	3.7420062108667365	0.0	0.1505596765753814	2.713695814843359	4.008988783227255	4.626439136697315	0.0	0.0	0.32192809488736235	1.2141248053528477	1.6229303509201767	0.0	0.0	0.9855004303048849	2.5801454844233804	1.9486008474933556	5.4356285940520905
